level;character;pinyin
hsk1;爱;ài
hsk1;爱好;ài hào
hsk1;八;bā
hsk1;爸爸｜爸;bàba ｜ bà
hsk1;吧;ba
hsk1;白;bái
hsk1;白天;bái tiān
hsk1;百;bǎi
hsk1;班;bān
hsk1;半;bàn
hsk1;半年;bàn nián
hsk1;半天;bàn tiān
hsk1;帮;bāng
hsk1;帮忙;bāng máng
hsk1;包;bāo
hsk1;包子;bāo zi
hsk1;杯;bēi
hsk1;杯子;bēi zi
hsk1;北;běi
hsk1;北边;běi biān
hsk1;北京;běi jīng
hsk1;本;běn
hsk1;本子;běn zi
hsk1;比;bǐ
hsk1;别;bié
hsk1;别的;bié de
hsk1;别人;bié·rén
hsk1;病;bìng
hsk1;病人;bìng rén
hsk1;不大;bú dà
hsk1;不对;bú duì
hsk1;不客气;bú kè qì
hsk1;不用;bú yòng
hsk1;不;bù
hsk1;菜;cài
hsk1;茶;chá
hsk1;差;chà
hsk1;常;cháng
hsk1;常常;cháng cháng
hsk1;唱;chàng
hsk1;唱歌;chàng gē
hsk1;车;chē
hsk1;车票;chē piào
hsk1;车上;chē shàng
hsk1;车站;chē zhàn
hsk1;吃;chī
hsk1;吃饭;chī fàn
hsk1;出;chū
hsk1;出来;chū lái
hsk1;出去;chū qù
hsk1;穿;chuān
hsk1;床;chuáng
hsk1;次;cì
hsk1;从;cóng
hsk1;错;cuò
hsk1;打;dǎ
hsk1;打车;dǎ chē
hsk1;打电话;dǎ diàn huà
hsk1;打开;dǎ kāi
hsk1;打球;dǎ qiú
hsk1;大;dà
hsk1;大学;dà xué
hsk1;大学生;dà xué shēng
hsk1;到;dào
hsk1;得到;dé dào
hsk1;地;de
hsk1;的;de
hsk1;等;děng
hsk1;地;dì
hsk1;地点;dìdiǎn
hsk1;地方;dìfang
hsk1;地上;dì shàng
hsk1;地图;dìtú
hsk1;弟弟｜弟;dì di ｜ dì
hsk1;第;dì （ dì èr ）
hsk1;点;diǎn
hsk1;电;diàn
hsk1;电话;diàn huà
hsk1;电脑;diànnǎo
hsk1;电视;diànshì
hsk1;电视机;diàn shì jī
hsk1;电影;diànyǐng
hsk1;电影院;diàn yǐng yuàn
hsk1;东;dōng
hsk1;东边;dōng biān
hsk1;东西;dōngxi
hsk1;动;dòng
hsk1;动作;dòngzuò
hsk1;都;dōu
hsk1;读;dú
hsk1;读书;dú shū
hsk1;对;duì
hsk1;对不起;duìbuqǐ
hsk1;多;duō
hsk1;多少;duōshao
hsk1;饿;è
hsk1;儿子;érzi
hsk1;二;èr
hsk1;饭;fàn
hsk1;饭店;fàndiàn
hsk1;房间;fángjiān
hsk1;房子;fáng zi
hsk1;放;fàng
hsk1;放假;fàng jià
hsk1;放学;fàng xué
hsk1;飞;fēi
hsk1;飞机;fēijī
hsk1;非常;fēicháng
hsk1;分;fēn
hsk1;风;fēng
hsk1;干;gān
hsk1;干净;gānjìng
hsk1;干;gàn
hsk1;干什么;gàn shén me
hsk1;高;gāo
hsk1;高兴;gāoxìng
hsk1;告诉;gàosu
hsk1;哥哥｜哥;gē ge ｜ gē
hsk1;歌;gē
hsk1;个;gè
hsk1;给;gěi
hsk1;跟;gēn
hsk1;工人;gōngrén
hsk1;工作;gōngzuò
hsk1;关;guān
hsk1;关上;guān shàng
hsk1;贵;guì
hsk1;国;guó
hsk1;国家;guójiā
hsk1;国外;guó wài
hsk1;过;guò
hsk1;还;hái
hsk1;还是;háishi
hsk1;还有;hái yǒu
